"","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","Genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"1",126171,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126171","Scorpaena","Linnaeus, 1758","accepted",NA,180,"Genus",126171,"Scorpaena","Linnaeus, 1758",154409,"Animalia","Chordata","Actinopteri","Perciformes","Scorpaenidae","Scorpaena","Froese, R. and D. Pauly. Editors. (2022). FishBase. Scorpaena Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126171 on 2022-09-01","urn:lsid:marinespecies.org:taxname:126171",1,1,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"2",268212,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=268212","Achoerodus","Gill, 1863","accepted",NA,180,"Genus",268212,"Achoerodus","Gill, 1863",125541,"Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Achoerodus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Achoerodus Gill, 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=268212 on 2022-09-01","urn:lsid:marinespecies.org:taxname:268212",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",270104,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=270104","Ophthalmolepis","Bleeker, 1862","accepted",NA,180,"Genus",270104,"Ophthalmolepis","Bleeker, 1862",125541,"Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Ophthalmolepis","Froese, R. and D. Pauly. Editors. (2022). FishBase. Ophthalmolepis Bleeker, 1862. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=270104 on 2022-09-01","urn:lsid:marinespecies.org:taxname:270104",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"5",296929,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=296929","Latropiscis","Whitley, 1931","accepted",NA,180,"Genus",296929,"Latropiscis","Whitley, 1931",125441,"Animalia","Chordata","Actinopteri","Aulopiformes","Aulopidae","Latropiscis","Froese, R. and D. Pauly. Editors. (2022). FishBase. Latropiscis Whitley, 1931. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=296929 on 2022-09-01","urn:lsid:marinespecies.org:taxname:296929",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"6",270115,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=270115","Orectolobus","Bonaparte, 1834","accepted",NA,180,"Genus",270115,"Orectolobus","Bonaparte, 1834",148806,"Animalia","Chordata","Elasmobranchii","Orectolobiformes","Orectolobidae","Orectolobus","Froese, R. and D. Pauly. Editors. (2022). FishBase. Orectolobus Bonaparte, 1834. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=270115 on 2022-09-01","urn:lsid:marinespecies.org:taxname:270115",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"7",205733,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=205733","Dicotylichthys","Kaup, 1855","accepted",NA,180,"Genus",205733,"Dicotylichthys","Kaup, 1855",125608,"Animalia","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Dicotylichthys","Froese, R. and D. Pauly. Editors. (2022). FishBase. Dicotylichthys Kaup, 1855. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=205733 on 2022-09-01","urn:lsid:marinespecies.org:taxname:205733",1,1,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"8",270397,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=270397","Phyllopteryx","Swainson, 1839","accepted",NA,180,"Genus",270397,"Phyllopteryx","Swainson, 1839",154405,"Animalia","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Phyllopteryx","Froese, R. and D. Pauly. Editors. (2022). FishBase. Phyllopteryx Swainson, 1839. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=270397 on 2022-09-01","urn:lsid:marinespecies.org:taxname:270397",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"9",138477,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=138477","Sepia","Linnaeus, 1758","accepted",NA,180,"Genus",138477,"Sepia","Linnaeus, 1758",11723,"Animalia","Mollusca","Cephalopoda","Sepiida","Sepiidae","Sepia","MolluscaBase eds. (2022). MolluscaBase. Sepia Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138477 on 2022-09-01","urn:lsid:marinespecies.org:taxname:138477",1,NA,0,0,NA,"exact","2016-05-19T10:38:19.797Z"
"10",271165,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=271165","Trygonorrhina","Müller & Henle, 1838","accepted",NA,180,"Genus",271165,"Trygonorrhina","Müller & Henle, 1838",148896,"Animalia","Chordata","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Trygonorrhina","Froese, R. and D. Pauly. Editors. (2022). FishBase. Trygonorrhina Müller & Henle, 1838. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=271165 on 2022-09-01","urn:lsid:marinespecies.org:taxname:271165",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
